Licensed to;Licenciado a
Loading...;A carregar
Visit site;Visitar site
Info;Informações
Login;Entrar
Welcome back!;Benvindo de volta!
Invalid credentials.;Credenciais inválidas!
Username;Nome de utilizador
Password;Palavra-Chave
Remember me?;Lembrar? (beta)
Sign In;Entrar
Logout;Sair
Due to the inactivity of this session, your account was temporarily locked.;Devido à inatividade da sessão, a sua conta foi temporariamente bloqueada.
To unlock your account, simply slide the button and enter your password.;Para desbloquear a sua conta, deslize o botão e escreva a palavra-chave.
slide me;deslizar
slide to unlock;desliza
Enter your password here...;Escreva a Palavra-Chave
Unlock;Entrar
Account Settings;Propriedades da conta
Notifications;Notificações
Invoicing;Facturas
Dashboard;Painel
Profile;Perfil
Messages;Mensagens
New Messages;Mensagens novas
Close;Fechar
Inbox;Caixa
Reply;Responder
Delete;Apagar
Read;Ler
Lock screen;Bloquear
Settings;Propriedades
Disk Space Usage;Espaço em disco
Bandwidth;Tráfego
Email Accounts;Contas de E-mail
Pages;Páginas
Search...;Procurar...
Anything;Algo
Cancel;Cancelar
Save;Salvar
Add new page;Adicionar nova página
Configurations;Configurações
Backups;Cópias de Segurnaça
File Manager;Gestor de Ficheiros
Help;Ajuda
Languages;Idiomas
Recycling;Reciclagem
Stats;estatísticas
Mail themes;Temas de E-mail
Last visits;Últimas visitas
Visitors Map;Mapa de visitas
Real-time visits;Visitas em tempo real
Real-time Map;Mapa de visitas em tempo real
Social network;Portais sociais
Create module;
Id;ID
Title;Título
Fk;
Intro;Introdução
Full text;Texto completo
Status;Estado
Created;Criado
Options;Opções